Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,36009,0,2,2.988265679932593,0.9858129997155629,85.80911500030197,106.46791080007776,609.6329743373716,0.0,2,3,3,4,4,5,7,11,46,84,86
,Aggregated,36009,0,2,2.988265679932593,0.9858129997155629,85.80911500030197,106.46791080007776,609.6329743373716,0.0,2,3,3,4,4,5,7,11,46,84,86
